* [https://www.spinics.net/lists/linux-soc/msg07293.html][PATCH] soc: qcom: msm_bus: initialize cldata->handle field, Lu Shuaibing
* [https://www.spinics.net/lists/linux-soc/msg06859.html][PATCH v3 0/7] Add non PAS wcss Q6 support for QCS404, Govind Singh
+ [https://www.spinics.net/lists/linux-soc/msg06860.html][PATCH v3 1/7] dt-bindings: clock: qcom: Introduce QCOM WCSS Q6DSP clock bindings, Govind Singh
o [https://www.spinics.net/lists/linux-soc/msg06884.html]Re: [PATCH v3 1/7] dt-bindings: clock: qcom: Introduce QCOM WCSS Q6DSP clock bindings, Stephen Boyd
# [https://www.spinics.net/lists/linux-soc/msg07059.html]Re: [PATCH v3 1/7] dt-bindings: clock: qcom: Introduce QCOM WCSS Q6DSP clock bindings, Govind Singh
+ [https://www.spinics.net/lists/linux-soc/msg06861.html][PATCH v3 2/7] clk: qcom: Add WCSS Q6DSP clock controller for QCS404, Govind Singh
o [https://www.spinics.net/lists/linux-soc/msg06880.html]Re: [PATCH v3 2/7] clk: qcom: Add WCSS Q6DSP clock controller for QCS404, Stephen Boyd
# [https://www.spinics.net/lists/linux-soc/msg07060.html]Re: [PATCH v3 2/7] clk: qcom: Add WCSS Q6DSP clock controller for QCS404, Govind Singh
+ [https://www.spinics.net/lists/linux-soc/msg06862.html][PATCH v3 3/7] dt-bindings: clock: qcom: Add QCOM WCSS GCC clock bindings, Govind Singh
o [https://www.spinics.net/lists/linux-soc/msg06885.html]Re: [PATCH v3 3/7] dt-bindings: clock: qcom: Add QCOM WCSS GCC clock bindings, Stephen Boyd
# [https://www.spinics.net/lists/linux-soc/msg07058.html]Re: [PATCH v3 3/7] dt-bindings: clock: qcom: Add QCOM WCSS GCC clock bindings, Govind Singh
+ [https://www.spinics.net/lists/linux-soc/msg06863.html][PATCH v3 4/7] clk: qcom: Add WCSS gcc clock control for QCS404, Govind Singh
o [https://www.spinics.net/lists/linux-soc/msg06869.html]Re: [PATCH v3 4/7] clk: qcom: Add WCSS gcc clock control for QCS404, Bjorn Andersson
# [https://www.spinics.net/lists/linux-soc/msg07057.html]Re: [PATCH v3 4/7] clk: qcom: Add WCSS gcc clock control for QCS404, Govind Singh
o [https://www.spinics.net/lists/linux-soc/msg06881.html]Re: [PATCH v3 4/7] clk: qcom: Add WCSS gcc clock control for QCS404, Stephen Boyd
+ [https://www.spinics.net/lists/linux-soc/msg06864.html][PATCH v3 5/7] remoteproc: qcom: wcss: populate hardcoded param using driver data, Govind Singh
o [https://www.spinics.net/lists/linux-soc/msg06882.html]Re: [PATCH v3 5/7] remoteproc: qcom: wcss: populate hardcoded param using driver data, Stephen Boyd
+ [https://www.spinics.net/lists/linux-soc/msg06865.html][PATCH v3 6/7] remoteproc: qcom: wcss: Add non pas wcss Q6 support for QCS404, Govind Singh
o [https://www.spinics.net/lists/linux-soc/msg06883.html]Re: [PATCH v3 6/7] remoteproc: qcom: wcss: Add non pas wcss Q6 support for QCS404, Stephen Boyd
o [https://www.spinics.net/lists/linux-soc/msg06886.html]Re: [PATCH v3 6/7] remoteproc: qcom: wcss: Add non pas wcss Q6 support for QCS404, Rob Herring
+ [https://www.spinics.net/lists/linux-soc/msg06866.html][PATCH v3 7/7] remoteproc: qcom: wcss: explicitly request exclusive reset control, Govind Singh
* [https://www.spinics.net/lists/linux-soc/msg06856.html][PATCH 1/2] arm64: dts: qcom: Correct "gpiio" typo in msm8996-pins, jakob . wuhrer
+ [https://www.spinics.net/lists/linux-soc/msg06857.html][PATCH 2/2] arm64: dts: qcom: Add more msm8996 uarts, jakob . wuhrer
o [https://www.spinics.net/lists/linux-soc/msg07011.html]Re: [PATCH 2/2] arm64: dts: qcom: Add more msm8996 uarts, Jakob Wuhrer
+ [https://www.spinics.net/lists/linux-soc/msg07018.html]Re: [PATCH 1/2] arm64: dts: qcom: Correct "gpiio" typo in msm8996-pins, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg06840.html][PATCH 0/9] Clean up ARM SMP/CPU hotplug implementations, Russell King - ARM Linux
+ [https://www.spinics.net/lists/linux-soc/msg06841.html][PATCH 1/9] ARM: omap2: remove unnecessary boot_lock, Russell King
+ [https://www.spinics.net/lists/linux-soc/msg06842.html][PATCH 2/9] ARM: qcom: remove unnecessary boot_lock, Russell King
o [https://www.spinics.net/lists/linux-soc/msg07000.html]Re: [PATCH 2/9] ARM: qcom: remove unnecessary boot_lock, Linus Walleij
# [https://www.spinics.net/lists/linux-soc/msg07002.html]Re: [PATCH 2/9] ARM: qcom: remove unnecessary boot_lock, Stephen Boyd
@ [https://www.spinics.net/lists/linux-soc/msg07004.html]Re: [PATCH 2/9] ARM: qcom: remove unnecessary boot_lock, Linus Walleij
# [https://www.spinics.net/lists/linux-soc/msg07007.html]Re: [PATCH 2/9] ARM: qcom: remove unnecessary boot_lock, Russell King - ARM Linux
@ [https://www.spinics.net/lists/linux-soc/msg07013.html]Re: [PATCH 2/9] ARM: qcom: remove unnecessary boot_lock, Linus Walleij
o [https://www.spinics.net/lists/linux-soc/msg07005.html]Re: [PATCH 2/9] ARM: qcom: remove unnecessary boot_lock, Stephen Boyd
+ [https://www.spinics.net/lists/linux-soc/msg06843.html][PATCH 3/9] ARM: oxnas: remove CPU hotplug implementation, Russell King
o [https://www.spinics.net/lists/linux-soc/msg06913.html]Re: [PATCH 3/9] ARM: oxnas: remove CPU hotplug implementation, Neil Armstrong
+ [https://www.spinics.net/lists/linux-soc/msg06844.html][PATCH 4/9] ARM: sti: remove pen_release and boot_lock, Russell King
o [https://www.spinics.net/lists/linux-soc/msg06872.html]Re: [PATCH 4/9] ARM: sti: remove pen_release and boot_lock, Patrice CHOTARD
+ [https://www.spinics.net/lists/linux-soc/msg06845.html][PATCH 6/9] ARM: vexpress/realview: consolidate immitation CPU hotplug, Russell King
+ [https://www.spinics.net/lists/linux-soc/msg06846.html][PATCH 7/9] ARM: versatile: convert boot_lock to raw, Russell King
+ [https://www.spinics.net/lists/linux-soc/msg06847.html][PATCH 8/9] ARM: versatile: rename and comment SMP implementation, Russell King
+ [https://www.spinics.net/lists/linux-soc/msg06848.html][PATCH 9/9] ARM: smp: remove arch-provided "pen_release", Russell King
o [https://www.spinics.net/lists/linux-soc/msg06851.html]Re: [PATCH 9/9] ARM: smp: remove arch-provided "pen_release", Viresh Kumar
# [https://www.spinics.net/lists/linux-soc/msg06853.html]Re: [PATCH 9/9] ARM: smp: remove arch-provided "pen_release", Russell King - ARM Linux
@ [https://www.spinics.net/lists/linux-soc/msg06871.html]Re: [PATCH 9/9] ARM: smp: remove arch-provided "pen_release", Viresh Kumar
+ [https://www.spinics.net/lists/linux-soc/msg06906.html]Re: [PATCH 0/9] Clean up ARM SMP/CPU hotplug implementations, Russell King - ARM Linux
o [https://www.spinics.net/lists/linux-soc/msg06907.html]Re: [PATCH 0/9] Clean up ARM SMP/CPU hotplug implementations, Krzysztof Kozlowski
# [https://www.spinics.net/lists/linux-soc/msg06908.html]Re: [PATCH 0/9] Clean up ARM SMP/CPU hotplug implementations, Russell King - ARM Linux
* [https://www.spinics.net/lists/linux-soc/msg06837.html][PATCH v2 0/2] Fixes for failed LLCC probe, Jordan Crouse
+ [https://www.spinics.net/lists/linux-soc/msg06838.html][PATCH v2 1/2] qcom: soc: llcc-slice: Clear the global drv_data pointer on error, Jordan Crouse
o [https://www.spinics.net/lists/linux-soc/msg07080.html]Re: [PATCH v2 1/2] qcom: soc: llcc-slice: Clear the global drv_data pointer on error, Andy Gross
# [https://www.spinics.net/lists/linux-soc/msg07081.html]Re: [PATCH v2 1/2] qcom: soc: llcc-slice: Clear the global drv_data pointer on error, Jordan Crouse
@ [https://www.spinics.net/lists/linux-soc/msg07085.html]Re: [PATCH v2 1/2] qcom: soc: llcc-slice: Clear the global drv_data pointer on error, Andy Gross
- [https://www.spinics.net/lists/linux-soc/msg07086.html]Re: [PATCH v2 1/2] qcom: soc: llcc-slice: Clear the global drv_data pointer on error, Jordan Crouse
= [https://www.spinics.net/lists/linux-soc/msg07090.html]Re: [PATCH v2 1/2] qcom: soc: llcc-slice: Clear the global drv_data pointer on error, Andy Gross
+ [https://www.spinics.net/lists/linux-soc/msg06839.html][PATCH v2 2/2] qcom: soc: llcc-slice: Consolidate some code, Jordan Crouse
* [https://www.spinics.net/lists/linux-soc/msg06829.html][PATCH v2 0/4] phy: qcom-qmp: Fix clock-cells binding and provider, Evan Green
+ [https://www.spinics.net/lists/linux-soc/msg06830.html][PATCH v2 3/4] arm64: dts: qcom: sdm845: Fix QMP PHY #clock-cells, Evan Green
+ [https://www.spinics.net/lists/linux-soc/msg06831.html][PATCH v2 2/4] arm64: dts: qcom: msm8996: Fix QMP PHY #clock-cells, Evan Green
* [https://www.spinics.net/lists/linux-soc/msg06824.html][PATCH v7 0/5] arm64: dts: qcom: sdm845: Add UFS DT nodes, Evan Green
+ [https://www.spinics.net/lists/linux-soc/msg06825.html][PATCH v7 5/5] arm64: dts: qcom: sdm845: Add USB PHY lane two, Evan Green
+ [https://www.spinics.net/lists/linux-soc/msg06826.html][PATCH v7 3/5] arm64: dts: qcom: sdm845: add UFS controller, Evan Green
o [https://www.spinics.net/lists/linux-soc/msg07006.html]Re: [PATCH v7 3/5] arm64: dts: qcom: sdm845: add UFS controller, Evan Green
+ [https://www.spinics.net/lists/linux-soc/msg06827.html][PATCH v7 4/5] arm64: dts: qcom: sdm845: Add UFS nodes for sdm845-mtp, Evan Green
+ [https://www.spinics.net/lists/linux-soc/msg06834.html]Re: [PATCH v7 0/5] arm64: dts: qcom: sdm845: Add UFS DT nodes, Kishon Vijay Abraham I
* [https://www.spinics.net/lists/linux-soc/msg06821.html][PATCH v2] clk: qcom: qcs404: Fix gpll0_out_main parent, Vinod Koul
+ [https://www.spinics.net/lists/linux-soc/msg06828.html]Re: [PATCH v2] clk: qcom: qcs404: Fix gpll0_out_main parent, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg06817.html][PATCH] clk: qcom: Fix gpll0_out_main parent, Vinod Koul
+ [https://www.spinics.net/lists/linux-soc/msg06818.html]Re: [PATCH] clk: qcom: Fix gpll0_out_main parent, Bjorn Andersson
* [https://www.spinics.net/lists/linux-soc/msg06805.html]Re: [PATCH] ARM: dts: Kill off skeleton{64}.dtsi, Martin Blumenstingl
* [https://www.spinics.net/lists/linux-soc/msg06791.html][PATCH] clk: qcom: Remove LPASS_CC config for GCC lpass clocks, Taniya Das
+ [https://www.spinics.net/lists/linux-soc/msg06795.html]Re: [PATCH] clk: qcom: Remove LPASS_CC config for GCC lpass clocks, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg06790.html][PATCH] arm64: dts: sdm845: Add lpasscc node, Taniya Das
+ [https://www.spinics.net/lists/linux-soc/msg06815.html]Re: [PATCH] arm64: dts: sdm845: Add lpasscc node, Doug Anderson
+ [https://www.spinics.net/lists/linux-soc/msg07025.html]Re: [PATCH] arm64: dts: sdm845: Add lpasscc node, Bjorn Andersson
o [https://www.spinics.net/lists/linux-soc/msg07026.html]Re: [PATCH] arm64: dts: sdm845: Add lpasscc node, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg06776.html][PATCH v2] arm64: dts: sdm845: Add videocc node, Douglas Anderson
* [https://www.spinics.net/lists/linux-soc/msg06772.html][PATCH v2 0/3] clk: qcom: gcc-msm8998: Fixes and clkref clocks, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg06773.html][PATCH v2 1/3] clk: qcom: gcc-msm8998: Drop hmss_dvm and lpass_at, Bjorn Andersson
o [https://www.spinics.net/lists/linux-soc/msg06785.html]Re: [PATCH v2 1/3] clk: qcom: gcc-msm8998: Drop hmss_dvm and lpass_at, Marc Gonzalez
# [https://www.spinics.net/lists/linux-soc/msg06788.html]Re: [PATCH v2 1/3] clk: qcom: gcc-msm8998: Drop hmss_dvm and lpass_at, Bjorn Andersson
o [https://www.spinics.net/lists/linux-soc/msg06810.html]Re: [PATCH v2 1/3] clk: qcom: gcc-msm8998: Drop hmss_dvm and lpass_at, Stephen Boyd
+ [https://www.spinics.net/lists/linux-soc/msg06774.html][PATCH v2 3/3] clk: qcom: gcc-msm8998: Add clkref clocks, Bjorn Andersson
o [https://www.spinics.net/lists/linux-soc/msg06808.html]Re: [PATCH v2 3/3] clk: qcom: gcc-msm8998: Add clkref clocks, Stephen Boyd
+ [https://www.spinics.net/lists/linux-soc/msg06775.html][PATCH v2 2/3] clk: qcom: gcc-msm8998: Disable halt check of UFS clocks, Bjorn Andersson
o [https://www.spinics.net/lists/linux-soc/msg06809.html]Re: [PATCH v2 2/3] clk: qcom: gcc-msm8998: Disable halt check of UFS clocks, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg06762.html][PATCH v11 0/3] Add support for LPASS clock controller for SDM845, Taniya Das
+ [https://www.spinics.net/lists/linux-soc/msg06763.html][PATCH v11 1/3] dt-bindings: clock: Update GCC bindings for protected-clocks, Taniya Das
o [https://www.spinics.net/lists/linux-soc/msg06769.html]Re: [PATCH v11 1/3] dt-bindings: clock: Update GCC bindings for protected-clocks, Stephen Boyd
+ [https://www.spinics.net/lists/linux-soc/msg06764.html][PATCH v11 2/3] dt-bindings: clock: Introduce QCOM LPASS clock bindings, Taniya Das
o [https://www.spinics.net/lists/linux-soc/msg06770.html]Re: [PATCH v11 2/3] dt-bindings: clock: Introduce QCOM LPASS clock bindings, Stephen Boyd
+ [https://www.spinics.net/lists/linux-soc/msg06765.html][PATCH v11 3/3] clk: qcom: Add lpass clock controller driver for SDM845, Taniya Das
o [https://www.spinics.net/lists/linux-soc/msg06771.html]Re: [PATCH v11 3/3] clk: qcom: Add lpass clock controller driver for SDM845, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg06758.html][PATCH] dmaengine: remove DBGFS_FUNC_DECL(), Yangtao Li
+ [https://www.spinics.net/lists/linux-soc/msg06759.html]Re: [PATCH] dmaengine: remove DBGFS_FUNC_DECL(), Sinan Kaya
o [https://www.spinics.net/lists/linux-soc/msg06766.html]Re: [PATCH] dmaengine: remove DBGFS_FUNC_DECL(), Robert Jarzmik
+ [https://www.spinics.net/lists/linux-soc/msg06792.html]Re: [PATCH] dmaengine: remove DBGFS_FUNC_DECL(), Vinod Koul
o [https://www.spinics.net/lists/linux-soc/msg06793.html]Re: [PATCH] dmaengine: remove DBGFS_FUNC_DECL(), Frank Lee
# [https://www.spinics.net/lists/linux-soc/msg06794.html]Re: [PATCH] dmaengine: remove DBGFS_FUNC_DECL(), Vinod Koul
@ [https://www.spinics.net/lists/linux-soc/msg06796.html]Re: [PATCH] dmaengine: remove DBGFS_FUNC_DECL(), Frank Lee
* [https://www.spinics.net/lists/linux-soc/msg06746.html][PATCH] arm64: dts: qcom: qcs404: Add pshold node, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg06767.html]Re: [PATCH] arm64: dts: qcom: qcs404: Add pshold node, Vinod Koul
* [https://www.spinics.net/lists/linux-soc/msg06741.html][PATCH] arm64: dts: qcom: msm8998: Fix compatible of scm node, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg06781.html]Re: [PATCH] arm64: dts: qcom: msm8998: Fix compatible of scm node, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg06740.html][PATCH 0/3] clk: qcom: gcc-msm8998: Fixes and clkref clocks, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg06737.html][PATCH 3/3] clk: qcom: gcc-msm8998: Add clkref clocks, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg06738.html][PATCH 2/3] clk: qcom: gcc-msm8998: Disable halt check of UFS clocks, Bjorn Andersson
o [https://www.spinics.net/lists/linux-soc/msg06743.html]Re: [PATCH 2/3] clk: qcom: gcc-msm8998: Disable halt check of UFS clocks, Stephen Boyd
# [https://www.spinics.net/lists/linux-soc/msg06745.html]Re: [PATCH 2/3] clk: qcom: gcc-msm8998: Disable halt check of UFS clocks, Bjorn Andersson
@ [https://www.spinics.net/lists/linux-soc/msg06748.html]Re: [PATCH 2/3] clk: qcom: gcc-msm8998: Disable halt check of UFS clocks, Stephen Boyd
o [https://www.spinics.net/lists/linux-soc/msg06752.html]Re: [PATCH 2/3] clk: qcom: gcc-msm8998: Disable halt check of UFS clocks, Marc Gonzalez
# [https://www.spinics.net/lists/linux-soc/msg06755.html]Re: [PATCH 2/3] clk: qcom: gcc-msm8998: Disable halt check of UFS clocks, Marc Gonzalez
+ [https://www.spinics.net/lists/linux-soc/msg06739.html][PATCH 1/3] clk: qcom: gcc-msm8998: Mark hmss_dvm and lpass_at critical, Bjorn Andersson
o [https://www.spinics.net/lists/linux-soc/msg06742.html]Re: [PATCH 1/3] clk: qcom: gcc-msm8998: Mark hmss_dvm and lpass_at critical, Stephen Boyd
# [https://www.spinics.net/lists/linux-soc/msg06744.html]Re: [PATCH 1/3] clk: qcom: gcc-msm8998: Mark hmss_dvm and lpass_at critical, Bjorn Andersson
@ [https://www.spinics.net/lists/linux-soc/msg06747.html]Re: [PATCH 1/3] clk: qcom: gcc-msm8998: Mark hmss_dvm and lpass_at critical, Stephen Boyd
- [https://www.spinics.net/lists/linux-soc/msg06750.html]Re: [PATCH 1/3] clk: qcom: gcc-msm8998: Mark hmss_dvm and lpass_at critical, Marc Gonzalez
= [https://www.spinics.net/lists/linux-soc/msg06756.html]Re: [PATCH 1/3] clk: qcom: gcc-msm8998: Mark hmss_dvm and lpass_at critical, Jeffrey Hugo
* [https://www.spinics.net/lists/linux-soc/msg06734.html][PATCH v1 0/4] phy: qcom-qmp: Fix clock-cells binding and provider, Evan Green
+ [https://www.spinics.net/lists/linux-soc/msg06735.html][PATCH v1 3/4] arm64: dts: qcom: sdm845: Fix QMP PHY #clock-cells, Evan Green
o [https://www.spinics.net/lists/linux-soc/msg06778.html]Re: [PATCH v1 3/4] arm64: dts: qcom: sdm845: Fix QMP PHY #clock-cells, Stephen Boyd
+ [https://www.spinics.net/lists/linux-soc/msg06736.html][PATCH v1 2/4] arm64: dts: qcom: msm8996: Fix QMP PHY #clock-cells, Evan Green
o [https://www.spinics.net/lists/linux-soc/msg06777.html]Re: [PATCH v1 2/4] arm64: dts: qcom: msm8996: Fix QMP PHY #clock-cells, Stephen Boyd
o [https://www.spinics.net/lists/linux-soc/msg06820.html]Re: [PATCH v1 2/4] arm64: dts: qcom: msm8996: Fix QMP PHY #clock-cells, Vivek Gautam
+ [https://www.spinics.net/lists/linux-soc/msg06783.html]Re: [PATCH v1 0/4] phy: qcom-qmp: Fix clock-cells binding and provider, Kishon Vijay Abraham I
o [https://www.spinics.net/lists/linux-soc/msg06784.html]Re: [PATCH v1 0/4] phy: qcom-qmp: Fix clock-cells binding and provider, Vivek Gautam
# [https://www.spinics.net/lists/linux-soc/msg06816.html]Re: [PATCH v1 0/4] phy: qcom-qmp: Fix clock-cells binding and provider, Kishon Vijay Abraham I
@ [https://www.spinics.net/lists/linux-soc/msg06819.html]Re: [PATCH v1 0/4] phy: qcom-qmp: Fix clock-cells binding and provider, Vivek Gautam
* [https://www.spinics.net/lists/linux-soc/msg06721.html][PATCH v1 0/3] arm64: dts: qcom: sdm845: Add SD nodes, Evan Green
+ [https://www.spinics.net/lists/linux-soc/msg06722.html][PATCH v1 2/3] arm64: dts: qcom: sdm845: Add SD nodes, Evan Green
o [https://www.spinics.net/lists/linux-soc/msg06798.html]Re: [PATCH v1 2/3] arm64: dts: qcom: sdm845: Add SD nodes, Doug Anderson
+ [https://www.spinics.net/lists/linux-soc/msg06723.html][PATCH v1 3/3] arm64: dts: qcom: sdm845: Add SD nodes for sdm845-mtp, Evan Green
o [https://www.spinics.net/lists/linux-soc/msg06799.html]Re: [PATCH v1 3/3] arm64: dts: qcom: sdm845: Add SD nodes for sdm845-mtp, Doug Anderson
# [https://www.spinics.net/lists/linux-soc/msg06800.html]Re: [PATCH v1 3/3] arm64: dts: qcom: sdm845: Add SD nodes for sdm845-mtp, Evan Green
* [https://www.spinics.net/lists/linux-soc/msg06717.html][PATCH 2/2] arm64: dts: sdm845: Add gpu clock controller node, Douglas Anderson
* [https://www.spinics.net/lists/linux-soc/msg06716.html][PATCH] clk: qcom: gpu_cc_gmu_clk_src has 5 parents, not 6, Douglas Anderson
+ [https://www.spinics.net/lists/linux-soc/msg06720.html]Re: [PATCH] clk: qcom: gpu_cc_gmu_clk_src has 5 parents, not 6, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg06713.html][PATCH] ARM: dts: qcom: msm8974-hammerhead: correct gpios property on magnetometer, Brian Masney
+ [https://www.spinics.net/lists/linux-soc/msg06725.html]Re: [PATCH] ARM: dts: qcom: msm8974-hammerhead: correct gpios property on magnetometer, Andy Gross
* [https://www.spinics.net/lists/linux-soc/msg06705.html][PATCH v3 0/4] thermal: tsens: Add support for QCS404 platform, Amit Kucheria
* [https://www.spinics.net/lists/linux-soc/msg06702.html][PATCH] arm64: dts: qcom: sdm845: Add Q6V5 MSS node, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06850.html]Re: [PATCH] arm64: dts: qcom: sdm845: Add Q6V5 MSS node, Doug Anderson
o [https://www.spinics.net/lists/linux-soc/msg06852.html]Re: [PATCH] arm64: dts: qcom: sdm845: Add Q6V5 MSS node, Bjorn Andersson
# [https://www.spinics.net/lists/linux-soc/msg06854.html]Re: [PATCH] arm64: dts: qcom: sdm845: Add Q6V5 MSS node, Doug Anderson
o [https://www.spinics.net/lists/linux-soc/msg06855.html]Re: [PATCH] arm64: dts: qcom: sdm845: Add Q6V5 MSS node, Sibi Sankar
* [https://www.spinics.net/lists/linux-soc/msg06693.html][PATCH v2 0/2] clk: qcom: Support special behavior for SDM845 gpucc, Jordan Crouse
+ [https://www.spinics.net/lists/linux-soc/msg06694.html][PATCH 1/2] clk: qcom: gdsc: Don't override existing gdsc pd functions, Jordan Crouse
o [https://www.spinics.net/lists/linux-soc/msg06708.html]Re: [PATCH 1/2] clk: qcom: gdsc: Don't override existing gdsc pd functions, Stephen Boyd
+ [https://www.spinics.net/lists/linux-soc/msg06695.html][PATCH 2/2] clk: qcom: Add a dummy enable function for GX gdsc, Jordan Crouse
o [https://www.spinics.net/lists/linux-soc/msg06709.html]Re: [PATCH 2/2] clk: qcom: Add a dummy enable function for GX gdsc, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg06692.html][PATCH 0/2] clk: qcom:, Jordan Crouse
+ [https://www.spinics.net/lists/linux-soc/msg06690.html][PATCH 1/2] clk: qcom: gdsc: Don't override existing gdsc pd functions, Jordan Crouse
o [https://www.spinics.net/lists/linux-soc/msg06730.html]Re: [PATCH 1/2] clk: qcom: gdsc: Don't override existing gdsc pd functions, Bjorn Andersson
+ [https://www.spinics.net/lists/linux-soc/msg06691.html][PATCH 2/2] clk: qcom: Add a dummy enable function for GX gdsc, Jordan Crouse
o [https://www.spinics.net/lists/linux-soc/msg06731.html]Re: [PATCH 2/2] clk: qcom: Add a dummy enable function for GX gdsc, Bjorn Andersson
* [https://www.spinics.net/lists/linux-soc/msg06687.html][PATCH v4 0/2] Add QCOM graphics clock controller driver for SDM845, Taniya Das
+ [https://www.spinics.net/lists/linux-soc/msg06688.html][PATCH v4 1/2] dt-bindings: clock: Introduce QCOM Graphics clock bindings, Taniya Das
o [https://www.spinics.net/lists/linux-soc/msg06698.html]Re: [PATCH v4 1/2] dt-bindings: clock: Introduce QCOM Graphics clock bindings, Rob Herring
o [https://www.spinics.net/lists/linux-soc/msg06707.html]Re: [PATCH v4 1/2] dt-bindings: clock: Introduce QCOM Graphics clock bindings, Stephen Boyd
+ [https://www.spinics.net/lists/linux-soc/msg06689.html][PATCH v4 2/2] clk: qcom: Add graphics clock controller driver for SDM845, Taniya Das
o [https://www.spinics.net/lists/linux-soc/msg06710.html]Re: [PATCH v4 2/2] clk: qcom: Add graphics clock controller driver for SDM845, Stephen Boyd
* [https://www.spinics.net/lists/linux-soc/msg06683.html][PATCH v10 0/3] Add support for LPASS clock controller for SDM845, Taniya Das
+ [https://www.spinics.net/lists/linux-soc/msg06684.html][PATCH v10 1/3] dt-bindings: clock: Update GCC bindings for protected-clocks, Taniya Das
o [https://www.spinics.net/lists/linux-soc/msg06696.html]Re: [PATCH v10 1/3] dt-bindings: clock: Update GCC bindings for protected-clocks, Rob Herring
+ [https://www.spinics.net/lists/linux-soc/msg06685.html][PATCH v10 2/3] dt-bindings: clock: Introduce QCOM LPASS clock bindings, Taniya Das
o [https://www.spinics.net/lists/linux-soc/msg06697.html]Re: [PATCH v10 2/3] dt-bindings: clock: Introduce QCOM LPASS clock bindings, Rob Herring
+ [https://www.spinics.net/lists/linux-soc/msg06686.html][PATCH v10 3/3] clk: qcom: Add lpass clock controller driver for SDM845, Taniya Das
o [https://www.spinics.net/lists/linux-soc/msg06703.html]Re: [PATCH v10 3/3] clk: qcom: Add lpass clock controller driver for SDM845, Stephen Boyd
# [https://www.spinics.net/lists/linux-soc/msg06760.html]Re: [PATCH v10 3/3] clk: qcom: Add lpass clock controller driver for SDM845, Taniya Das
o [https://www.spinics.net/lists/linux-soc/msg06719.html]Re: [PATCH v10 3/3] clk: qcom: Add lpass clock controller driver for SDM845, Stephen Boyd
# [https://www.spinics.net/lists/linux-soc/msg06761.html]Re: [PATCH v10 3/3] clk: qcom: Add lpass clock controller driver for SDM845, Taniya Das
* [https://www.spinics.net/lists/linux-soc/msg06666.html][PATCH] dt-bindings: remoteproc: qcom: Add power-domain bindings for Q6V5, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06807.html]Re: [PATCH] dt-bindings: remoteproc: qcom: Add power-domain bindings for Q6V5, Rob Herring
+ [https://www.spinics.net/lists/linux-soc/msg06813.html]Re: [PATCH] dt-bindings: remoteproc: qcom: Add power-domain bindings for Q6V5, Bjorn Andersson
o [https://www.spinics.net/lists/linux-soc/msg06814.html]Re: [PATCH] dt-bindings: remoteproc: qcom: Add power-domain bindings for Q6V5, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06849.html]Re: [PATCH] dt-bindings: remoteproc: qcom: Add power-domain bindings for Q6V5, Doug Anderson
* [https://www.spinics.net/lists/linux-soc/msg06664.html][PATCH 1/2] dt-bindings: remoteproc: qcom: Add shutdown-ack irq for Q6v5, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06665.html][PATCH 2/2] remoteproc: sysmon: Wait for shutdown-ack/ind on sysmon shutdown, Sibi Sankar
o [https://www.spinics.net/lists/linux-soc/msg06811.html]Re: [PATCH 2/2] remoteproc: sysmon: Wait for shutdown-ack/ind on sysmon shutdown, Bjorn Andersson
# [https://www.spinics.net/lists/linux-soc/msg06858.html]Re: [PATCH 2/2] remoteproc: sysmon: Wait for shutdown-ack/ind on sysmon shutdown, Sibi Sankar
+ [https://www.spinics.net/lists/linux-soc/msg06806.html]Re: [PATCH 1/2] dt-bindings: remoteproc: qcom: Add shutdown-ack irq for Q6v5, Rob Herring
+ [https://www.spinics.net/lists/linux-soc/msg06659.html][PATCH 1/4] drm/msm/a6xx: Remove unwanted regulator code, Jordan Crouse
o [https://www.spinics.net/lists/linux-soc/msg06669.html]Re: [PATCH 1/4] drm/msm/a6xx: Remove unwanted regulator code, Stephen Boyd
+ [https://www.spinics.net/lists/linux-soc/msg06656.html][PATCH 2/4] clk: qcom: gdsc: Don't override existing gdsc pd functions, Jordan Crouse
o [https://www.spinics.net/lists/linux-soc/msg06661.html]Re: [PATCH 2/4] clk: qcom: gdsc: Don't override existing gdsc pd functions, Rajendra Nayak
+ [https://www.spinics.net/lists/linux-soc/msg06657.html][PATCH 3/4] clk: qcom: Add a dummy enable function for GX gdsc, Jordan Crouse
