* [https://www.spinics.net/lists/arm-kernel/msg741994.html][PATCH] rqchip/stm32: Remove unneeded call to kfree, Hariprasad Kelam
* [https://www.spinics.net/lists/arm-kernel/msg741248.html][PATCH] staging: mt7621-pci: Add of_node_put() before return, Nishka Dasgupta
* [https://www.spinics.net/lists/arm-kernel/msg741247.html][PATCH] staging: mt7621-pinctrl: Add of_node_put() before return, Nishka Dasgupta
* [https://www.spinics.net/lists/arm-kernel/msg741246.html][PATCH] net: ethernet: mediatek: mtk_eth_soc: Add of_node_put() before goto, Nishka Dasgupta
* [https://www.spinics.net/lists/arm-kernel/msg741245.html][PATCH] media: platform: sti: c8sectpfe: core: Add of_node_put() at goto, Nishka Dasgupta
+ [https://www.spinics.net/lists/arm-kernel/msg741256.html]Re: [PATCH] media: platform: sti: c8sectpfe: core: Add of_node_put() at goto, Patrice CHOTARD
* [https://www.spinics.net/lists/arm-kernel/msg741243.html][PATCH V3] cpufreq: Make cpufreq_generic_init() return void, Viresh Kumar
+ [https://www.spinics.net/lists/arm-kernel/msg741732.html]Re: [PATCH V3] cpufreq: Make cpufreq_generic_init() return void, Rafael J. Wysocki
* [https://www.spinics.net/lists/arm-kernel/msg741242.html][PATCH] ARM64/irqchip: Make ACPI_IORT depend on PCI again, Sasha Levin
+ [https://www.spinics.net/lists/arm-kernel/msg741244.html]Re: [PATCH] ARM64/irqchip: Make ACPI_IORT depend on PCI again, Sinan Kaya
o [https://www.spinics.net/lists/arm-kernel/msg741309.html]Re: [PATCH] ARM64/irqchip: Make ACPI_IORT depend on PCI again, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741237.html][PATCH] arm64: dts: imx8mm: Correct SAI3 RXC/TXFS pin's mux option #1, Anson . Huang
* [https://www.spinics.net/lists/arm-kernel/msg741226.html][PATCH] dt-bindings: pinctrl: aspeed: Fix AST2500 example errors, Rob Herring
+ [https://www.spinics.net/lists/arm-kernel/msg741232.html]Re: [PATCH] dt-bindings: pinctrl: aspeed: Fix AST2500 example errors, Andrew Jeffery
* [https://www.spinics.net/lists/arm-kernel/msg741225.html][PATCH] dt-bindings: pinctrl: aspeed: Fix 'compatible' schema errors, Rob Herring
+ [https://www.spinics.net/lists/arm-kernel/msg741228.html]Re: [PATCH] dt-bindings: pinctrl: aspeed: Fix 'compatible' schema errors, Joel Stanley
o [https://www.spinics.net/lists/arm-kernel/msg741234.html]Re: [PATCH] dt-bindings: pinctrl: aspeed: Fix 'compatible' schema errors, Andrew Jeffery
o [https://www.spinics.net/lists/arm-kernel/msg741362.html]Re: [PATCH] dt-bindings: pinctrl: aspeed: Fix 'compatible' schema errors, Rob Herring
# [https://www.spinics.net/lists/arm-kernel/msg741449.html]Re: [PATCH] dt-bindings: pinctrl: aspeed: Fix 'compatible' schema errors, Andrew Jeffery
+ [https://www.spinics.net/lists/arm-kernel/msg741233.html]Re: [PATCH] dt-bindings: pinctrl: aspeed: Fix 'compatible' schema errors, Andrew Jeffery
* [https://www.spinics.net/lists/arm-kernel/msg741221.html][PATCH 26/28] perf cs-etm: Return errcode in cs_etm__process_auxtrace_info(), Arnaldo Carvalho de Melo
* [https://www.spinics.net/lists/arm-kernel/msg741220.html][PATCH 25/28] perf cs-etm: Remove errnoeous ERR_PTR() usage in cs_etm__process_auxtrace_info, Arnaldo Carvalho de Melo
* [https://www.spinics.net/lists/arm-kernel/msg741219.html][PATCH] ARM: dts: nomadik: Set up the CS GPIO right, Linus Walleij
* [https://www.spinics.net/lists/arm-kernel/msg741217.html][PATCH] ARM: dts: gemini: Set DIR-685 SPI CS as active low, Linus Walleij
+ [https://www.spinics.net/lists/arm-kernel/msg741235.html]Re: [PATCH] ARM: dts: gemini: Set DIR-685 SPI CS as active low, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741213.html][PATCH v3 0/5] Add NUMA-awareness to qspinlock, Alex Kogan
+ [https://www.spinics.net/lists/arm-kernel/msg741210.html][PATCH v3 2/5] locking/qspinlock: Refactor the qspinlock slow path, Alex Kogan
o [https://www.spinics.net/lists/arm-kernel/msg741297.html]Re: [PATCH v3 2/5] locking/qspinlock: Refactor the qspinlock slow path, Peter Zijlstra
# [https://www.spinics.net/lists/arm-kernel/msg741364.html]Re: [PATCH v3 2/5] locking/qspinlock: Refactor the qspinlock slow path, Alex Kogan
@ [https://www.spinics.net/lists/arm-kernel/msg741394.html]Re: [PATCH v3 2/5] locking/qspinlock: Refactor the qspinlock slow path, Peter Zijlstra
+ [https://www.spinics.net/lists/arm-kernel/msg741211.html][PATCH v3 4/5] locking/qspinlock: Introduce starvation avoidance into CNA, Alex Kogan
o [https://www.spinics.net/lists/arm-kernel/msg741397.html]Re: [PATCH v3 4/5] locking/qspinlock: Introduce starvation avoidance into CNA, Peter Zijlstra
+ [https://www.spinics.net/lists/arm-kernel/msg741212.html][PATCH v3 1/5] locking/qspinlock: Make arch_mcs_spin_unlock_contended more generic, Alex Kogan
o [https://www.spinics.net/lists/arm-kernel/msg741301.html]Re: [PATCH v3 1/5] locking/qspinlock: Make arch_mcs_spin_unlock_contended more generic, Peter Zijlstra
+ [https://www.spinics.net/lists/arm-kernel/msg741214.html][PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Alex Kogan
o [https://www.spinics.net/lists/arm-kernel/msg741222.html]Re: [PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Waiman Long
# [https://www.spinics.net/lists/arm-kernel/msg741302.html]Re: [PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Peter Zijlstra
# [https://www.spinics.net/lists/arm-kernel/msg741343.html]Re: [PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Alex Kogan
@ [https://www.spinics.net/lists/arm-kernel/msg741351.html]Re: [PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Waiman Long
- [https://www.spinics.net/lists/arm-kernel/msg741355.html]Re: [PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Waiman Long
= [https://www.spinics.net/lists/arm-kernel/msg741629.html]Re: [PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Alex Kogan
* [https://www.spinics.net/lists/arm-kernel/msg741633.html]Re: [PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Waiman Long
o [https://www.spinics.net/lists/arm-kernel/msg741303.html]Re: [PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Peter Zijlstra
# [https://www.spinics.net/lists/arm-kernel/msg741344.html]Re: [PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Alex Kogan
o [https://www.spinics.net/lists/arm-kernel/msg741398.html]Re: [PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Peter Zijlstra
# [https://www.spinics.net/lists/arm-kernel/msg741417.html]Re: [PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Alex Kogan
@ [https://www.spinics.net/lists/arm-kernel/msg741421.html]Re: [PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Peter Zijlstra
- [https://www.spinics.net/lists/arm-kernel/msg741510.html]Re: [PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Peter Zijlstra
= [https://www.spinics.net/lists/arm-kernel/msg741523.html]Re: [PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Peter Zijlstra
* [https://www.spinics.net/lists/arm-kernel/msg741603.html]Re: [PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Alex Kogan
* [https://www.spinics.net/lists/arm-kernel/msg741608.html]Re: [PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Peter Zijlstra
o [https://www.spinics.net/lists/arm-kernel/msg741442.html]Re: [PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Waiman Long
# [https://www.spinics.net/lists/arm-kernel/msg741479.html]Re: [PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Peter Zijlstra
@ [https://www.spinics.net/lists/arm-kernel/msg741593.html]Re: [PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Waiman Long
@ [https://www.spinics.net/lists/arm-kernel/msg741602.html]Re: [PATCH v3 3/5] locking/qspinlock: Introduce CNA into the slow path of qspinlock, Alex Kogan
+ [https://www.spinics.net/lists/arm-kernel/msg741215.html][PATCH v3 5/5] locking/qspinlock: Introduce the shuffle reduction optimization into CNA, Alex Kogan
+ [https://www.spinics.net/lists/arm-kernel/msg741322.html]Re: [PATCH v3 0/5] Add NUMA-awareness to qspinlock, Nicholas Piggin
# [https://www.spinics.net/lists/arm-kernel/msg741438.html]Re: [PATCH v3 0/5] Add NUMA-awareness to qspinlock, Nicholas Piggin
* [https://www.spinics.net/lists/arm-kernel/msg741192.html][PATCH v3 00/13] Consolidate and improve NVIDIA Tegra CPUIDLE driver(s), Dmitry Osipenko
+ [https://www.spinics.net/lists/arm-kernel/msg741193.html][PATCH v3 02/13] ARM: tegra: Change tegra_set_cpu_in_lp2() type to void, Dmitry Osipenko
+ [https://www.spinics.net/lists/arm-kernel/msg741194.html][PATCH v3 03/13] ARM: tegra: Propagate error from tegra_idle_lp2_last(), Dmitry Osipenko
+ [https://www.spinics.net/lists/arm-kernel/msg741195.html][PATCH v3 04/13] ARM: tegra: Compile sleep-tegra20/30.S unconditionally, Dmitry Osipenko
+ [https://www.spinics.net/lists/arm-kernel/msg741196.html][PATCH v3 01/13] ARM: tegra: Remove cpuidle drivers to replace them with a new driver, Dmitry Osipenko
+ [https://www.spinics.net/lists/arm-kernel/msg741197.html][PATCH v3 05/13] ARM: tegra: Expose PM functions required for new cpuidle driver, Dmitry Osipenko
+ [https://www.spinics.net/lists/arm-kernel/msg741198.html][PATCH v3 07/13] ARM: tegra: Add tegra_pm_park_secondary_cpu(), Dmitry Osipenko
+ [https://www.spinics.net/lists/arm-kernel/msg741199.html][PATCH v3 08/13] clk: tegra: Add missing stubs for the case of !CONFIG_PM_SLEEP, Dmitry Osipenko
+ [https://www.spinics.net/lists/arm-kernel/msg741200.html][PATCH v3 10/13] cpuidle: tegra: Support CPU cluster power-down state on Tegra30, Dmitry Osipenko
+ [https://www.spinics.net/lists/arm-kernel/msg741201.html][PATCH v3 09/13] cpuidle: Introduce unified driver for NVIDIA Tegra SoCs, Dmitry Osipenko
+ [https://www.spinics.net/lists/arm-kernel/msg741202.html][PATCH v3 12/13] ARM: multi_v7_defconfig: Enable Tegra cpuidle driver, Dmitry Osipenko
+ [https://www.spinics.net/lists/arm-kernel/msg741203.html][PATCH v3 11/13] ARM: tegra: Create simple platform device for cpuidle driver, Dmitry Osipenko
+ [https://www.spinics.net/lists/arm-kernel/msg741204.html][PATCH v3 13/13] ARM: tegra: Enable Tegra cpuidle driver in tegra_defconfig, Dmitry Osipenko
+ [https://www.spinics.net/lists/arm-kernel/msg741207.html][PATCH v3 06/13] ARM: tegra: Rename some of the newly exposed PM functions, Dmitry Osipenko
* [https://www.spinics.net/lists/arm-kernel/msg741186.html][PATCH 1/3] ARM: dts: gemini: Fix up confused pin settings, Linus Walleij
+ [https://www.spinics.net/lists/arm-kernel/msg741187.html][PATCH 2/3] ARM: dts: gemini: Switch to redboot partition parsing, Linus Walleij
+ [https://www.spinics.net/lists/arm-kernel/msg741188.html][PATCH 3/3] ARM: dts: gemini: Mount root from mtdblock3, Linus Walleij
* [https://www.spinics.net/lists/arm-kernel/msg741175.html][PATCH AUTOSEL 4.19 063/158] media: s5p-mfc: fix reading min scratch buffer size on MFC v6/v7, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741173.html][PATCH AUTOSEL 4.19 092/158] media: s5p-mfc: Make additional clocks optional, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741172.html][PATCH AUTOSEL 4.14 040/105] perf cs-etm: Properly set the value of 'old' and 'head' in snapshot mode, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741170.html][PATCH AUTOSEL 4.19 052/158] perf cs-etm: Properly set the value of 'old' and 'head' in snapshot mode, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741169.html][PATCH] PCI: pci-bridge-emul: fix big-endian support, Grzegorz Jaszczyk
+ [https://www.spinics.net/lists/arm-kernel/msg741174.html]Re: [PATCH] PCI: pci-bridge-emul: fix big-endian support, Russell King - ARM Linux admin
o [https://www.spinics.net/lists/arm-kernel/msg741276.html]Re: [PATCH] PCI: pci-bridge-emul: fix big-endian support, Grzegorz Jaszczyk
* [https://www.spinics.net/lists/arm-kernel/msg741168.html][PATCH AUTOSEL 4.14 061/105] media: s5p-mfc: Make additional clocks optional, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741164.html][PATCH AUTOSEL 4.9 31/73] perf cs-etm: Properly set the value of 'old' and 'head' in snapshot mode, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741163.html][PATCH] PCI: aardvark: fix big endian support, Grzegorz Jaszczyk
+ [https://www.spinics.net/lists/arm-kernel/msg741176.html]Re: [PATCH] PCI: aardvark: fix big endian support, Thomas Petazzoni
o [https://www.spinics.net/lists/arm-kernel/msg741177.html]Re: [PATCH] PCI: aardvark: fix big endian support, Russell King - ARM Linux admin
# [https://www.spinics.net/lists/arm-kernel/msg741249.html]Re: [PATCH] PCI: aardvark: fix big endian support, Thomas Petazzoni
@ [https://www.spinics.net/lists/arm-kernel/msg741281.html]Re: [PATCH] PCI: aardvark: fix big endian support, Russell King - ARM Linux admin
o [https://www.spinics.net/lists/arm-kernel/msg741274.html]Re: [PATCH] PCI: aardvark: fix big endian support, Grzegorz Jaszczyk
* [https://www.spinics.net/lists/arm-kernel/msg741162.html][PATCH AUTOSEL 5.1 126/219] media: s5p-mfc: Make additional clocks optional, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741161.html][PATCH AUTOSEL 5.1 084/219] media: s5p-mfc: fix reading min scratch buffer size on MFC v6/v7, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741160.html][PATCH AUTOSEL 5.1 071/219] perf cs-etm: Properly set the value of 'old' and 'head' in snapshot mode, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741159.html][PATCH AUTOSEL 5.2 144/249] media: s5p-mfc: Make additional clocks optional, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741158.html][PATCH AUTOSEL 5.2 096/249] media: s5p-mfc: fix reading min scratch buffer size on MFC v6/v7, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741157.html][PATCH AUTOSEL 5.2 082/249] perf cs-etm: Properly set the value of 'old' and 'head' in snapshot mode, Sasha Levin
* [https://www.spinics.net/lists/arm-kernel/msg741133.html][PATCH] MIPS: fix some more fall through errors in arch/mips, Stephen Rothwell
+ [https://www.spinics.net/lists/arm-kernel/msg741317.html]Re: [PATCH] MIPS: fix some more fall through errors in arch/mips, Paul Burton
* [https://www.spinics.net/lists/arm-kernel/msg741103.html][PATCH v1 00/50] Exynos5x clocks and buses changes, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741099.html][PATCH v1 01/50] clk: samsung: add new IDs for Exynos5420 clocks, Lukasz Luba
# [https://www.spinics.net/lists/arm-kernel/msg741291.html]Re: [PATCH v1 01/50] clk: samsung: add new IDs for Exynos5420 clocks, Chanwoo Choi
@ [https://www.spinics.net/lists/arm-kernel/msg741705.html]Re: [PATCH v1 01/50] clk: samsung: add new IDs for Exynos5420 clocks, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741100.html][PATCH v1 04/50] clk: samsung: add IDs to manage aclk400_mscl in Exynos5420, Lukasz Luba
# [https://www.spinics.net/lists/arm-kernel/msg741287.html]Re: [PATCH v1 04/50] clk: samsung: add IDs to manage aclk400_mscl in Exynos5420, Chanwoo Choi
@ [https://www.spinics.net/lists/arm-kernel/msg741696.html]Re: [PATCH v1 04/50] clk: samsung: add IDs to manage aclk400_mscl in Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741101.html][PATCH v1 03/50] clk: samsung: change parent of dout_aclk400_wcore in Exynos5420, Lukasz Luba
# [https://www.spinics.net/lists/arm-kernel/msg741280.html]Re: [PATCH v1 03/50] clk: samsung: change parent of dout_aclk400_wcore in Exynos5420, Chanwoo Choi
@ [https://www.spinics.net/lists/arm-kernel/msg741694.html]Re: [PATCH v1 03/50] clk: samsung: change parent of dout_aclk400_wcore in Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741102.html][PATCH v1 02/50] clk: samsung: add IDs for Exynos5420 NoC clocks, Lukasz Luba
# [https://www.spinics.net/lists/arm-kernel/msg741289.html]Re: [PATCH v1 02/50] clk: samsung: add IDs for Exynos5420 NoC clocks, Chanwoo Choi
@ [https://www.spinics.net/lists/arm-kernel/msg741697.html]Re: [PATCH v1 02/50] clk: samsung: add IDs for Exynos5420 NoC clocks, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741104.html][PATCH v1 06/50] clk: samsung: add IDs to ACLK266 clocks in Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741105.html][PATCH v1 07/50] clk: samsung: add IDs to ACLK266_G2D clocks in Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741106.html][PATCH v1 11/50] clk: samsung: add IDs to UART clocks in Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741107.html][PATCH v1 10/50] clk: samsung: change ACLK100_NOC clocks definitions Exynos5x, Lukasz Luba
# [https://www.spinics.net/lists/arm-kernel/msg741293.html]Re: [PATCH v1 10/50] clk: samsung: change ACLK100_NOC clocks definitions Exynos5x, Chanwoo Choi
o [https://www.spinics.net/lists/arm-kernel/msg741108.html][PATCH v1 05/50] clk: samsung: add IDs to aclk400_isp in Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741109.html][PATCH v1 12/50] clk: add ID to PWM MUX in Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741110.html][PATCH v1 13/50] clk: samsung: add DPLL rate table in Exynos5420, Lukasz Luba
# [https://www.spinics.net/lists/arm-kernel/msg741290.html]Re: [PATCH v1 13/50] clk: samsung: add DPLL rate table in Exynos5420, Chanwoo Choi
@ [https://www.spinics.net/lists/arm-kernel/msg741704.html]Re: [PATCH v1 13/50] clk: samsung: add DPLL rate table in Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741111.html][PATCH v1 09/50] clk: samsung: add IDs to FSYS clocks in Exynos5x, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741113.html][PATCH v1 49/50] ARM: dts: exynos: add buses support for Exynos5800 Peach Pi, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741114.html][PATCH v1 08/50] clk: samsung: change aclk266_isp clocks definitions Exynos5420, Lukasz Luba
# [https://www.spinics.net/lists/arm-kernel/msg741296.html]Re: [PATCH v1 08/50] clk: samsung: change aclk266_isp clocks definitions Exynos5420, Chanwoo Choi
@ [https://www.spinics.net/lists/arm-kernel/msg741706.html]Re: [PATCH v1 08/50] clk: samsung: change aclk266_isp clocks definitions Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741115.html][PATCH v1 32/50] ARM: dts: exynos: remove lowest OPP from bus_mfc in Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741116.html][PATCH v1 50/50] ARM: dts: exynos: change MMC0 clock parent in Exynos5800 Peach Pi, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741117.html][PATCH v1 36/50] ARM: dts: exynos: change ACLK100_NOC config in Exynos5422, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741118.html][PATCH v1 44/50] ARM: dts: exynos: change rate of bus_jpeg in Exynos5422, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741119.html][PATCH v1 39/50] ARM: dts: exynos: change parent and rate of bus_fsys_acp in Exynos5422, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741120.html][PATCH v1 22/50] ARM: dts: exynos: OPPs for bus_disp1 in Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741121.html][PATCH v1 43/50] ARM: dts: exynos: add bus_isp in Exynos5422, Lukasz Luba
# [https://www.spinics.net/lists/arm-kernel/msg741536.html]Re: [PATCH v1 43/50] ARM: dts: exynos: add bus_isp in Exynos5422, Krzysztof Kozlowski
@ [https://www.spinics.net/lists/arm-kernel/msg741554.html]Re: [PATCH v1 43/50] ARM: dts: exynos: add bus_isp in Exynos5422, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741122.html][PATCH v1 18/50] ARM: dts: exynos: add bus_isp with OPP table, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741123.html][PATCH v1 15/50] clk: samsung: add MPLL rate table in Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741124.html][PATCH v1 26/50] ARM: dts: exynos: align NOC100 bus OPPs in Exynos5420, Lukasz Luba
# [https://www.spinics.net/lists/arm-kernel/msg741546.html]Re: [PATCH v1 26/50] ARM: dts: exynos: align NOC100 bus OPPs in Exynos5420, Krzysztof Kozlowski
@ [https://www.spinics.net/lists/arm-kernel/msg741548.html]Re: [PATCH v1 26/50] ARM: dts: exynos: align NOC100 bus OPPs in Exynos5420, Lukasz Luba
- [https://www.spinics.net/lists/arm-kernel/msg741561.html]Re: [PATCH v1 26/50] ARM: dts: exynos: align NOC100 bus OPPs in Exynos5420, Krzysztof Kozlowski
= [https://www.spinics.net/lists/arm-kernel/msg741564.html]Re: [PATCH v1 26/50] ARM: dts: exynos: align NOC100 bus OPPs in Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741127.html][PATCH v1 47/50] ARM: dts: exynos: change rate of bus_gscl_scaler in Exynos5422, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741125.html][PATCH v1 42/50] ARM: dts: exynos: change parent and rate of bus_mscl in Exynos5422, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741126.html][PATCH v1 19/50] ARM: dts: exynos: change OPPs values for FSYS2 in Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741128.html][PATCH v1 46/50] ARM: dts: exynos: change rates of bus_disp1 in Exynos5422, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741129.html][PATCH v1 21/50] ARM: dts: exynos: add OPP into FSYS APB bus in Exynos5420, Lukasz Luba
# [https://www.spinics.net/lists/arm-kernel/msg741521.html]Re: [PATCH v1 21/50] ARM: dts: exynos: add OPP into FSYS APB bus in Exynos5420, Krzysztof Kozlowski
o [https://www.spinics.net/lists/arm-kernel/msg741130.html][PATCH v1 30/50] ARM: dts: exynos: add bus_isp266 into Exynos5800, Lukasz Luba
# [https://www.spinics.net/lists/arm-kernel/msg741559.html]Re: [PATCH v1 30/50] ARM: dts: exynos: add bus_isp266 into Exynos5800, Krzysztof Kozlowski
o [https://www.spinics.net/lists/arm-kernel/msg741131.html][PATCH v1 28/50] ARM: dts: exynos: change OPPs for g2d and g2d_acp buses in Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741132.html][PATCH v1 14/50] clk: samsung: add CLK_MOUT_SCLK_CPLL in the Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741134.html][PATCH v1 16/50] clk: samsung: add SPLL rate table in Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741135.html][PATCH v1 35/50] ARM: dts: exynos: change speed and parent of NoC clock in Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741136.html][PATCH v1 34/50] ARM: dts: exynos: set parent clocks to PWM in Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741137.html][PATCH v1 24/50] ARM: dts: exynos: align OPPs with PLL rate for MSCL in Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741138.html][PATCH v1 40/50] ARM: dts: exynos: change parent and rate of bus_gen in Exynos5422, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741139.html][PATCH v1 31/50] ARM: dts: exynos: align lowest OPP in bus_jpeg in Exynos5420, Lukasz Luba
# [https://www.spinics.net/lists/arm-kernel/msg741556.html]Re: [PATCH v1 31/50] ARM: dts: exynos: align lowest OPP in bus_jpeg in Exynos5420, Krzysztof Kozlowski
o [https://www.spinics.net/lists/arm-kernel/msg741140.html][PATCH v1 37/50] ARM: dts: exynos: change parent and rate of bus_fsys in Exynos5422, Lukasz Luba
# [https://www.spinics.net/lists/arm-kernel/msg741543.html]Re: [PATCH v1 37/50] ARM: dts: exynos: change parent and rate of bus_fsys in Exynos5422, Krzysztof Kozlowski
@ [https://www.spinics.net/lists/arm-kernel/msg741562.html]Re: [PATCH v1 37/50] ARM: dts: exynos: change parent and rate of bus_fsys in Exynos5422, Lukasz Luba
- [https://www.spinics.net/lists/arm-kernel/msg741566.html]Re: [PATCH v1 37/50] ARM: dts: exynos: change parent and rate of bus_fsys in Exynos5422, Krzysztof Kozlowski
= [https://www.spinics.net/lists/arm-kernel/msg741568.html]Re: [PATCH v1 37/50] ARM: dts: exynos: change parent and rate of bus_fsys in Exynos5422, Lukasz Luba
* [https://www.spinics.net/lists/arm-kernel/msg741570.html]Re: [PATCH v1 37/50] ARM: dts: exynos: change parent and rate of bus_fsys in Exynos5422, Krzysztof Kozlowski
+ [https://www.spinics.net/lists/arm-kernel/msg741586.html]Re: [PATCH v1 37/50] ARM: dts: exynos: change parent and rate of bus_fsys in Exynos5422, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741141.html][PATCH v1 45/50] ARM: dts: exynos: change rate of bus_disp1_fimd in Exynos5422, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741142.html][PATCH v1 29/50] ARM: dts: exynos: align OPPs of bus_gen in Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741143.html][PATCH v1 23/50] ARM: dts: exynos: change lowest OPP in bus_disp1_fimd in Exynos5420, Lukasz Luba
# [https://www.spinics.net/lists/arm-kernel/msg741515.html]Re: [PATCH v1 23/50] ARM: dts: exynos: change lowest OPP in bus_disp1_fimd in Exynos5420, Krzysztof Kozlowski
o [https://www.spinics.net/lists/arm-kernel/msg741144.html][PATCH v1 33/50] ARM: dts: exynos: set parent clocks to UARTs in Exynos5420, Lukasz Luba
# [https://www.spinics.net/lists/arm-kernel/msg741560.html]Re: [PATCH v1 33/50] ARM: dts: exynos: set parent clocks to UARTs in Exynos5420, Krzysztof Kozlowski
o [https://www.spinics.net/lists/arm-kernel/msg741145.html][PATCH v1 41/50] ARM: dts: exynos: change parent and rate of bus_g2d in Exynos5422, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741146.html][PATCH v1 17/50] clk: samsung: add CLK_MOUT_MMC0 in the Exynos5420, Lukasz Luba
o [https://www.spinics.net/lists/arm-kernel/msg741147.html][PATCH v1 20/50] ARM: dts: exynos: change and rename FSYS OPP table in Exynos5420, Lukasz Luba
# [https://www.spinics.net/lists/arm-kernel/msg741511.html]Re: [PATCH v1 20/50] ARM: dts: exynos: change and rename FSYS OPP table in Exynos5420, Krzysztof Kozlowski
@ [https://www.spinics.net/lists/arm-kernel/msg741547.html]Re: [PATCH v1 20/50] ARM: dts: exynos: change and rename FSYS OPP table in Exynos5420, Lukasz Luba
