* [https://www.spinics.net/lists/linux-watchdog/msg16226.html][PATCH] watchdog:alim1535_wdt: Fix data race in ali_settimer() concerning ali_timeout_bits variable. variable., Mark Balantzyan
+ [https://www.spinics.net/lists/linux-watchdog/msg15811.html][PATCH 1/5] watchdog: rtd119x: drop unused module.h include, Paul Gortmaker
o [https://www.spinics.net/lists/linux-watchdog/msg15862.html]Re: [PATCH 1/5] watchdog: rtd119x: drop unused module.h include, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15812.html][PATCH 5/5] watchdog: coh901327: make it explicitly non-modular, Paul Gortmaker
o [https://www.spinics.net/lists/linux-watchdog/msg15816.html]Re: [PATCH 5/5] watchdog: coh901327: make it explicitly non-modular, Linus Walleij
o [https://www.spinics.net/lists/linux-watchdog/msg15860.html]Re: [PATCH 5/5] watchdog: coh901327: make it explicitly non-modular, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15813.html][PATCH 2/5] watchdog: watchdog_core: make it explicitly non-modular, Paul Gortmaker
o [https://www.spinics.net/lists/linux-watchdog/msg15817.html]Re: [PATCH 2/5] watchdog: watchdog_core: make it explicitly non-modular, Guenter Roeck
# [https://www.spinics.net/lists/linux-watchdog/msg15820.html]Re: [PATCH 2/5] watchdog: watchdog_core: make it explicitly non-modular, Paul Gortmaker
@ [https://www.spinics.net/lists/linux-watchdog/msg15824.html]Re: [PATCH 2/5] watchdog: watchdog_core: make it explicitly non-modular, Guenter Roeck
- [https://www.spinics.net/lists/linux-watchdog/msg15848.html]Re: [PATCH 2/5] watchdog: watchdog_core: make it explicitly non-modular, Wim Van Sebroeck
= [https://www.spinics.net/lists/linux-watchdog/msg15859.html]Re: [PATCH 2/5] watchdog: watchdog_core: make it explicitly non-modular, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15814.html][PATCH 3/5] watchdog: npcm: make it explicitly non-modular, Paul Gortmaker
o [https://www.spinics.net/lists/linux-watchdog/msg15863.html]Re: [PATCH 3/5] watchdog: npcm: make it explicitly non-modular, Guenter Roeck
# [https://www.spinics.net/lists/linux-watchdog/msg15864.html]Re: [PATCH 3/5] watchdog: npcm: make it explicitly non-modular, Paul Gortmaker
+ [https://www.spinics.net/lists/linux-watchdog/msg15927.html]Re: [PATCH 0/5] wdt: clean up unused modular infrastructure, Avi Fishman
* [https://www.spinics.net/lists/linux-watchdog/msg15809.html]Re: [PATCH 1/2] dt-bindings: mt8183: Add watchdog dt-binding, Matthias Brugger
* [https://www.spinics.net/lists/linux-watchdog/msg15805.html][PATCH v2 36/79] docs: watchdog: convert docs to ReST and rename to *.rst, Mauro Carvalho Chehab
* [https://www.spinics.net/lists/linux-watchdog/msg15804.html][PATCH v2 19/79] docs: kdump: convert docs to ReST and rename to *.rst, Mauro Carvalho Chehab
* [https://www.spinics.net/lists/linux-watchdog/msg15785.html][PATCH v3 00/16] watchdog: refactor init_timeout and update users, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15783.html][PATCH v3 01/16] watchdog: refactor watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15784.html][PATCH v3 02/16] watchdog: add error messages when initializing timeout fails, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15786.html][PATCH v3 16/16] watchdog: ziirave_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15787.html][PATCH v3 15/16] watchdog: xen_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15788.html][PATCH v3 14/16] watchdog: stm32_iwdg: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15789.html][PATCH v3 13/16] watchdog: st_lpc_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15790.html][PATCH v3 12/16] watchdog: sp5100_tco: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15791.html][PATCH v3 11/16] watchdog: renesas_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15792.html][PATCH v3 08/16] watchdog: imx_sc_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
o [https://www.spinics.net/lists/linux-watchdog/msg15854.html]Re: [PATCH v3 08/16] watchdog: imx_sc_wdt: drop warning after calling watchdog_init_timeout, Uwe Kleine-König
# [https://www.spinics.net/lists/linux-watchdog/msg15855.html]Re: [PATCH v3 08/16] watchdog: imx_sc_wdt: drop warning after calling watchdog_init_timeout, Guenter Roeck
@ [https://www.spinics.net/lists/linux-watchdog/msg15856.html]Re: [PATCH v3 08/16] watchdog: imx_sc_wdt: drop warning after calling watchdog_init_timeout, Uwe Kleine-König
+ [https://www.spinics.net/lists/linux-watchdog/msg15793.html][PATCH v3 09/16] watchdog: ni903x_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15794.html][PATCH v3 10/16] watchdog: nic7018_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15795.html][PATCH v3 05/16] watchdog: ebc-c384_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15796.html][PATCH v3 07/16] watchdog: i6300esb: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15797.html][PATCH v3 06/16] watchdog: hpwdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
o [https://www.spinics.net/lists/linux-watchdog/msg15800.html]Re: [PATCH v3 06/16] watchdog: hpwdt: drop warning after calling watchdog_init_timeout, Jerry Hoemann
+ [https://www.spinics.net/lists/linux-watchdog/msg15798.html][PATCH v3 03/16] watchdog: cadence_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15799.html][PATCH v3 04/16] watchdog: cadence_wdt: still probe if user supplied timeout is invalid, Wolfram Sang
* [https://www.spinics.net/lists/linux-watchdog/msg15759.html][PATCH] watchdog: intel_scu_watchdog: fix spelling mistake: "set_hearbeat" -> "set_heartbeat", Colin King
+ [https://www.spinics.net/lists/linux-watchdog/msg15760.html]Re: [PATCH] watchdog: intel_scu_watchdog: fix spelling mistake: "set_hearbeat" -> "set_heartbeat", Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15771.html]Re: [PATCH] watchdog: intel_scu_watchdog: fix spelling mistake: "set_hearbeat" -> "set_heartbeat", Mukesh Ojha
* [https://www.spinics.net/lists/linux-watchdog/msg15738.html][PATCH v2 00/16] watchdog: refactor init_timeout and update users, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15739.html][PATCH v2 01/16] watchdog: refactor watchdog_init_timeout, Wolfram Sang
o [https://www.spinics.net/lists/linux-watchdog/msg15758.html]Re: [PATCH v2 01/16] watchdog: refactor watchdog_init_timeout, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15740.html][PATCH v2 16/16] watchdog: ziirave_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15741.html][PATCH v2 15/16] watchdog: xen_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15742.html][PATCH v2 14/16] watchdog: stm32_iwdg: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15743.html][PATCH v2 13/16] watchdog: st_lpc_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15744.html][PATCH v2 12/16] watchdog: sp5100_tco: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15745.html][PATCH v2 10/16] watchdog: nic7018_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15746.html][PATCH v2 11/16] watchdog: renesas_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15747.html][PATCH v2 09/16] watchdog: ni903x_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15748.html][PATCH v2 08/16] watchdog: imx_sc_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15749.html][PATCH v2 03/16] watchdog: cadence_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15750.html][PATCH v2 07/16] watchdog: i6300esb: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15751.html][PATCH v2 04/16] watchdog: cadence_wdt: still probe if user supplied timeout is invalid, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15752.html][PATCH v2 06/16] watchdog: hpwdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
o [https://www.spinics.net/lists/linux-watchdog/msg15763.html]Re: [PATCH v2 06/16] watchdog: hpwdt: drop warning after calling watchdog_init_timeout, Jerry Hoemann
# [https://www.spinics.net/lists/linux-watchdog/msg15764.html]Re: [PATCH v2 06/16] watchdog: hpwdt: drop warning after calling watchdog_init_timeout, Guenter Roeck
@ [https://www.spinics.net/lists/linux-watchdog/msg15766.html]Re: [PATCH v2 06/16] watchdog: hpwdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
- [https://www.spinics.net/lists/linux-watchdog/msg15768.html]Re: [PATCH v2 06/16] watchdog: hpwdt: drop warning after calling watchdog_init_timeout, Guenter Roeck
= [https://www.spinics.net/lists/linux-watchdog/msg15769.html]Re: [PATCH v2 06/16] watchdog: hpwdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
* [https://www.spinics.net/lists/linux-watchdog/msg15770.html]Re: [PATCH v2 06/16] watchdog: hpwdt: drop warning after calling watchdog_init_timeout, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15776.html]Re: [PATCH v2 06/16] watchdog: hpwdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
o [https://www.spinics.net/lists/linux-watchdog/msg15777.html]Re: [PATCH v2 06/16] watchdog: hpwdt: drop warning after calling watchdog_init_timeout, Guenter Roeck
# [https://www.spinics.net/lists/linux-watchdog/msg15778.html]Re: [PATCH v2 06/16] watchdog: hpwdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
@ [https://www.spinics.net/lists/linux-watchdog/msg15779.html]Re: [PATCH v2 06/16] watchdog: hpwdt: drop warning after calling watchdog_init_timeout, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15818.html]Re: [PATCH v2 06/16] watchdog: hpwdt: drop warning after calling watchdog_init_timeout, Geert Uytterhoeven
# [https://www.spinics.net/lists/linux-watchdog/msg15819.html]Re: [PATCH v2 06/16] watchdog: hpwdt: drop warning after calling watchdog_init_timeout, Guenter Roeck
# [https://www.spinics.net/lists/linux-watchdog/msg15765.html]Re: [PATCH v2 06/16] watchdog: hpwdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
@ [https://www.spinics.net/lists/linux-watchdog/msg15767.html]Re: [PATCH v2 06/16] watchdog: hpwdt: drop warning after calling watchdog_init_timeout, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15753.html][PATCH v2 05/16] watchdog: ebc-c384_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
o [https://www.spinics.net/lists/linux-watchdog/msg15755.html]Re: [PATCH v2 05/16] watchdog: ebc-c384_wdt: drop warning after calling watchdog_init_timeout, William Breathitt Gray
+ [https://www.spinics.net/lists/linux-watchdog/msg15754.html][PATCH v2 02/16] watchdog: add error messages when initializing timeout fails, Wolfram Sang
* [https://www.spinics.net/lists/linux-watchdog/msg15723.html][PATCH 00/57] Convert files to ReST, Mauro Carvalho Chehab
+ [https://www.spinics.net/lists/linux-watchdog/msg15724.html][PATCH 37/57] docs: watchdog: convert documents to ReST format, Mauro Carvalho Chehab
o [https://www.spinics.net/lists/linux-watchdog/msg15773.html]Re: [PATCH 37/57] docs: watchdog: convert documents to ReST format, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15782.html]Avoiding merge conflicts while adding new docs - Was: Re: [PATCH 00/57] Convert files to ReST, Mauro Carvalho Chehab
o [https://www.spinics.net/lists/linux-watchdog/msg15801.html]Re: Avoiding merge conflicts while adding new docs - Was: Re: [PATCH 00/57] Convert files to ReST, Jonathan Corbet
* [https://www.spinics.net/lists/linux-watchdog/msg15720.html][PATCH 1/6] ARM: ks8695: watchdog: stop using mach/*.h, Arnd Bergmann
+ [https://www.spinics.net/lists/linux-watchdog/msg15721.html]Re: [PATCH 1/6] ARM: ks8695: watchdog: stop using mach/*.h, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15722.html]Re: [PATCH 1/6] ARM: ks8695: watchdog: stop using mach/*.h, Arnd Bergmann
+ [https://www.spinics.net/lists/linux-watchdog/msg15757.html][PATCH 1/6 v2] ARM: ks8695: watchdog: stop using mach/*.h, Arnd Bergmann
o [https://www.spinics.net/lists/linux-watchdog/msg15762.html]Re: [PATCH 1/6 v2] ARM: ks8695: watchdog: stop using mach/*.h, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15802.html]Re: [PATCH 1/6] ARM: ks8695: watchdog: stop using mach/*.h, Greg Ungerer
+ [https://www.spinics.net/lists/linux-watchdog/msg15895.html]Re: [PATCH 1/6] ARM: ks8695: watchdog: stop using mach/*.h, Greg Ungerer
o [https://www.spinics.net/lists/linux-watchdog/msg15896.html]Re: [PATCH 1/6] ARM: ks8695: watchdog: stop using mach/*.h, Linus Walleij
# [https://www.spinics.net/lists/linux-watchdog/msg15899.html]Re: [PATCH 1/6] ARM: ks8695: watchdog: stop using mach/*.h, Guenter Roeck
@ [https://www.spinics.net/lists/linux-watchdog/msg15901.html]Re: [PATCH 1/6] ARM: ks8695: watchdog: stop using mach/*.h, Greg Ungerer
* [https://www.spinics.net/lists/linux-watchdog/msg15719.html][RFC PATCH] watchdog: renesas_wdt: support handover from bootloader, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15774.html]Re: [RFC PATCH] watchdog: renesas_wdt: support handover from bootloader, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15775.html]Re: [RFC PATCH] watchdog: renesas_wdt: support handover from bootloader, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15919.html]Re: [RFC PATCH] watchdog: renesas_wdt: support handover from bootloader, Geert Uytterhoeven
+ [https://www.spinics.net/lists/linux-watchdog/msg16043.html]Re: [RFC PATCH] watchdog: renesas_wdt: support handover from bootloader, Wolfram Sang
o [https://www.spinics.net/lists/linux-watchdog/msg16113.html]Re: [RFC PATCH] watchdog: renesas_wdt: support handover from bootloader, Guenter Roeck
# [https://www.spinics.net/lists/linux-watchdog/msg16114.html]Re: [RFC PATCH] watchdog: renesas_wdt: support handover from bootloader, Wolfram Sang
* [https://www.spinics.net/lists/linux-watchdog/msg15710.html][PATCH RFT] watchdog: da9063_wdt: parse DT for timeout value, too, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15715.html]Re: [PATCH RFT] watchdog: da9063_wdt: parse DT for timeout value, too, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15737.html]RE: [PATCH RFT] watchdog: da9063_wdt: parse DT for timeout value, too, Steve Twiss
* [https://www.spinics.net/lists/linux-watchdog/msg15693.html][PATCH 00/16] watchdog: refactor init_timeout and update users, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15692.html][PATCH 02/16] watchdog: add error messages when initializing timeout fails, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15694.html][PATCH 01/16] watchdog: refactor watchdog_init_timeout, Wolfram Sang
o [https://www.spinics.net/lists/linux-watchdog/msg15711.html]Re: [PATCH 01/16] watchdog: refactor watchdog_init_timeout, Guenter Roeck
# [https://www.spinics.net/lists/linux-watchdog/msg15712.html]Re: [PATCH 01/16] watchdog: refactor watchdog_init_timeout, Wolfram Sang
@ [https://www.spinics.net/lists/linux-watchdog/msg15713.html]Re: [PATCH 01/16] watchdog: refactor watchdog_init_timeout, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15718.html]Re: [PATCH 01/16] watchdog: refactor watchdog_init_timeout, Sergei Shtylyov
+ [https://www.spinics.net/lists/linux-watchdog/msg15695.html][PATCH 04/16] watchdog: cadence_wdt: still probe if user supplied timeout is invalid, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15696.html][PATCH 03/16] watchdog: cadence_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15697.html][PATCH 05/16] watchdog: ebc-c384_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15698.html][PATCH 07/16] watchdog: i6300esb: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15699.html][PATCH 08/16] watchdog: imx_sc_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15700.html][PATCH 06/16] watchdog: hpwdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15701.html][PATCH 10/16] watchdog: nic7018_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15702.html][PATCH 12/16] watchdog: sp5100_tco: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15703.html][PATCH 11/16] watchdog: renesas_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15704.html][PATCH 13/16] watchdog: st_lpc_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15705.html][PATCH 09/16] watchdog: ni903x_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15706.html][PATCH 16/16] watchdog: ziirave_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15708.html][PATCH 14/16] watchdog: stm32_iwdg: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15707.html][PATCH 15/16] watchdog: xen_wdt: drop warning after calling watchdog_init_timeout, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15709.html]Re: [PATCH 00/16] watchdog: refactor init_timeout and update users, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15716.html]Re: [PATCH 00/16] watchdog: refactor init_timeout and update users, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15691.html][PATCH] watchdog: renesas_wdt: drop superfluous glob pattern, Wolfram Sang
+ [https://www.spinics.net/lists/linux-watchdog/msg15714.html]Re: [PATCH] watchdog: renesas_wdt: drop superfluous glob pattern, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15686.html][PATCH v2] watchdog: pnx4008: readout watchdog state, Alexandre Belloni
+ [https://www.spinics.net/lists/linux-watchdog/msg15687.html]Re: [PATCH v2] watchdog: pnx4008: readout watchdog state, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15717.html]Re: [PATCH v2] watchdog: pnx4008: readout watchdog state, gregory . clement
* [https://www.spinics.net/lists/linux-watchdog/msg15682.html][PATCH] watchdog: pnx4008: readout watchddog state, Alexandre Belloni
+ [https://www.spinics.net/lists/linux-watchdog/msg15683.html]Re: [PATCH] watchdog: pnx4008: readout watchddog state, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15684.html]Re: [PATCH] watchdog: pnx4008: readout watchddog state, Alexandre Belloni
# [https://www.spinics.net/lists/linux-watchdog/msg15685.html]Re: [PATCH] watchdog: pnx4008: readout watchddog state, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15673.html][PATCH] watchdog: machzwd: Mark expected switch fall-through, Gustavo A. R. Silva
+ [https://www.spinics.net/lists/linux-watchdog/msg15675.html]Re: [PATCH] watchdog: machzwd: Mark expected switch fall-through, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15676.html]Re: [PATCH] watchdog: machzwd: Mark expected switch fall-through, Gustavo A. R. Silva
# [https://www.spinics.net/lists/linux-watchdog/msg15821.html]Re: [PATCH] watchdog: machzwd: Mark expected switch fall-through, Gustavo A. R. Silva
@ [https://www.spinics.net/lists/linux-watchdog/msg15822.html]Re: [PATCH] watchdog: machzwd: Mark expected switch fall-through, Guenter Roeck
- [https://www.spinics.net/lists/linux-watchdog/msg15823.html]Re: [PATCH] watchdog: machzwd: Mark expected switch fall-through, Gustavo A. R. Silva
* [https://www.spinics.net/lists/linux-watchdog/msg15647.html][PATCH 00/22] watchdog: Expand use of device managed functions (series 3 of 3), Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15648.html][PATCH 03/22] watchdog: ts4800_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15649.html][PATCH 13/22] watchdog: stm32_iwdg: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15650.html][PATCH 20/22] watchdog: jz4740_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15670.html]Re: [PATCH 20/22] watchdog: jz4740_wdt: Use 'dev' instead of dereferencing it repeatedly, Joe Perches
# [https://www.spinics.net/lists/linux-watchdog/msg15671.html]Re: [PATCH 20/22] watchdog: jz4740_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15651.html][PATCH 21/22] watchdog: mpc8xxx_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15807.html]Re: [PATCH 21/22] watchdog: mpc8xxx_wdt: Convert to use device managed functions and other improvements, Christophe Leroy
+ [https://www.spinics.net/lists/linux-watchdog/msg15652.html][PATCH 22/22] watchdog: pnx4008_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15653.html][PATCH 19/22] watchdog: rt2880_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15654.html][PATCH 16/22] watchdog: pic32-wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15655.html][PATCH 17/22] watchdog: loongson1_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15656.html][PATCH 18/22] watchdog: mt7621_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15672.html]Re: [PATCH 18/22] watchdog: mt7621_wdt: Use 'dev' instead of dereferencing it repeatedly, Joe Perches
# [https://www.spinics.net/lists/linux-watchdog/msg15674.html]Re: [PATCH 18/22] watchdog: mt7621_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
@ [https://www.spinics.net/lists/linux-watchdog/msg15677.html]Re: [PATCH 18/22] watchdog: mt7621_wdt: Use 'dev' instead of dereferencing it repeatedly, Joe Perches
- [https://www.spinics.net/lists/linux-watchdog/msg15678.html]Re: [PATCH 18/22] watchdog: mt7621_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15657.html][PATCH 10/22] watchdog: imx_sc_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15680.html]Re: [PATCH 10/22] watchdog: imx_sc_wdt: Use 'dev' instead of dereferencing it repeatedly, Shawn Guo
+ [https://www.spinics.net/lists/linux-watchdog/msg15658.html][PATCH 15/22] watchdog: pic32-dmt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15659.html][PATCH 14/22] watchdog: ux500_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15660.html][PATCH 12/22] watchdog: zx2967_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
o [https://www.spinics.net/lists/linux-watchdog/msg15681.html]Re: [PATCH 12/22] watchdog: zx2967_wdt: Convert to use device managed functions and other improvements, Shawn Guo
+ [https://www.spinics.net/lists/linux-watchdog/msg15661.html][PATCH 01/22] watchdog: tegra_wdt: Use watchdog_stop_on_unregister and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15662.html][PATCH 02/22] watchdog: tqmx86_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15663.html][PATCH 04/22] watchdog: ts72xx_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15664.html][PATCH 07/22] watchdog: wdat_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15665.html][PATCH 11/22] watchdog: sbsa_gwdt: Convert to use device managed functions and other improvements, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15666.html][PATCH 09/22] watchdog: xen_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15667.html][PATCH 08/22] watchdog: wm831x_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15668.html][PATCH 06/22] watchdog: uniphier_wdt: drop platform_set_drvdata, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15669.html][PATCH 05/22] watchdog: twl4030_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15643.html][PATCH] watchdog: wdat_wdt: fix get_timeleft call for wdat_wdt, Bryan Tan
+ [https://www.spinics.net/lists/linux-watchdog/msg15646.html]Re: [PATCH] watchdog: wdat_wdt: fix get_timeleft call for wdat_wdt, Guenter Roeck
* [https://www.spinics.net/lists/linux-watchdog/msg15610.html][PATCH 00/23] watchdog: Expand use of device managed functions (series 2 of 3), Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15611.html][PATCH 06/23] watchdog: mlx_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15613.html][PATCH 05/23] watchdog: meson_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15612.html][PATCH 11/23] watchdog: pm8916_wdt: Use 'dev' instead of dereferencing it repeatedly, Guenter Roeck
+ [https://www.spinics.net/lists/linux-watchdog/msg15614.html][PATCH 23/23] watchdog: tangox_wdt: Convert to use device managed functions and other improvements, Guenter Roeck
