* [https://www.spinics.net/lists/linux-pm/msg28520.html][PATCH] tracing: Remove unused clock events, Steven Rostedt
+ [https://www.spinics.net/lists/linux-pm/msg27868.html][PATCH v5 2/5] hwmon: exynos4: move thermal sensor driver to driver/thermal directory, Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg27869.html][PATCH v5 3/5] thermal: exynos5: add exynos5 thermal sensor driver support, Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg27870.html][PATCH v5 4/5] thermal: exynos: register the tmu sensor with the kernel thermal layer, Amit Daniel Kachhap
o [https://www.spinics.net/lists/linux-pm/msg27934.html][PATCH RESEND v5 4/5] thermal: exynos: register the tmu sensor with the kernel thermal layer, Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg27871.html][PATCH v5 5/5] ARM: exynos: add thermal sensor driver platform data support, Amit Daniel Kachhap
o [https://www.spinics.net/lists/linux-pm/msg27998.html]Re: [PATCH v5 5/5] ARM: exynos: add thermal sensor driver platform data support, Kyungmin Park
# [https://www.spinics.net/lists/linux-pm/msg27872.html]Re: [PATCH v5 5/5] ARM: exynos: add thermal sensor driver platform data support, amit kachhap
@ [https://www.spinics.net/lists/linux-pm/msg28001.html]Re: [PATCH v5 5/5] ARM: exynos: add thermal sensor driver platform data support, jonghwa3 . lee
* [https://www.spinics.net/lists/linux-pm/msg27857.html][PATCH 1/5] acpi : remove latency_ticks from acpi_processor_cx structure, Daniel Lezcano
+ [https://www.spinics.net/lists/linux-pm/msg27858.html][PATCH 2/5] acpi : remove index from acpi_processor_cx structure, Daniel Lezcano
+ [https://www.spinics.net/lists/linux-pm/msg27859.html][PATCH 3/5] acpi : remove usage from acpi_processor_cx structure, Daniel Lezcano
+ [https://www.spinics.net/lists/linux-pm/msg27860.html][PATCH 5/5] acpi : remove time from acpi_processor_cx structure, Daniel Lezcano
+ [https://www.spinics.net/lists/linux-pm/msg27861.html][PATCH 4/5] acpi : remove power from acpi_processor_cx structure, Daniel Lezcano
* [https://www.spinics.net/lists/linux-pm/msg27850.html][RESEND PATCH v4 0/5] thermal: Add kernel thermal support for exynos platform, Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg27851.html][RESEND PATCH v4 1/5] thermal: add generic cpufreq cooling implementation, Amit Daniel Kachhap
o [https://www.spinics.net/lists/linux-pm/msg27856.html]Re: [RESEND PATCH v4 1/5] thermal: add generic cpufreq cooling implementation, Valentin, Eduardo
# [https://www.spinics.net/lists/linux-pm/msg27863.html]Re: [RESEND PATCH v4 1/5] thermal: add generic cpufreq cooling implementation, amit kachhap
@ [https://www.spinics.net/lists/linux-pm/msg27996.html]Re: [RESEND PATCH v4 1/5] thermal: add generic cpufreq cooling implementation, rakesh singh
o [https://www.spinics.net/lists/linux-pm/msg27862.html]Re: [RESEND PATCH v4 1/5] thermal: add generic cpufreq cooling implementation, Andrew Morton
# [https://www.spinics.net/lists/linux-pm/msg27864.html]Re: [RESEND PATCH v4 1/5] thermal: add generic cpufreq cooling implementation, amit kachhap
+ [https://www.spinics.net/lists/linux-pm/msg27852.html][RESEND PATCH v4 2/5] hwmon: exynos4: move thermal sensor driver to driver/thermal directory, Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg27853.html][RESEND PATCH v4 3/5] thermal: exynos5: add exynos5 thermal sensor driver support, Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg27854.html][RESEND PATCH v4 4/5] thermal: exynos: register the tmu sensor with the kernel thermal layer, Amit Daniel Kachhap
+ [https://www.spinics.net/lists/linux-pm/msg27855.html][RESEND PATCH v4 5/5] ARM: exynos: add thermal sensor driver platform data support, Amit Daniel Kachhap
* [https://www.spinics.net/lists/linux-pm/msg27812.html][PATCH 1/4] acpi: intel_idle : break dependency between modules, Daniel Lezcano
+ [https://www.spinics.net/lists/linux-pm/msg27813.html][PATCH 2/4] cpuidle: define the enter function in the driver structure, Daniel Lezcano
o [https://www.spinics.net/lists/linux-pm/msg27818.html]Re: [PATCH 2/4] cpuidle: define the enter function in the driver structure, Rafael J. Wysocki
# [https://www.spinics.net/lists/linux-pm/msg27821.html]Re: [PATCH 2/4] cpuidle: define the enter function in the driver structure, Daniel Lezcano
@ [https://www.spinics.net/lists/linux-pm/msg27824.html]Re: [PATCH 2/4] cpuidle: define the enter function in the driver structure, Rafael J. Wysocki
@ [https://www.spinics.net/lists/linux-pm/msg27984.html]Re: [PATCH 2/4] cpuidle: define the enter function in the driver structure, Rajendra Nayak
- [https://www.spinics.net/lists/linux-pm/msg27839.html]Re: [PATCH 2/4] cpuidle: define the enter function in the driver structure, Daniel Lezcano
= [https://www.spinics.net/lists/linux-pm/msg27985.html]Re: [PATCH 2/4] cpuidle: define the enter function in the driver structure, Rajendra Nayak
+ [https://www.spinics.net/lists/linux-pm/msg27814.html][PATCH 3/4] cpuidle: move enter_dead to the driver structure, Daniel Lezcano
o [https://www.spinics.net/lists/linux-pm/msg27819.html]Re: [PATCH 3/4] cpuidle: move enter_dead to the driver structure, Rafael J. Wysocki
